code,town,resTotal,resRL,resFL,resFRPL,resELL,resSpEd,fiscTotal,fiscRL,fiscFL,fiscFRPL,fiscELL,fiscSpEd,techHS,charter,fiscNone
139,SUFFIELD ,2326,58,119,177,10,251,2302,58,118,176,10,250,6,,18
140,THOMASTON ,1231,68,88,156,2,154,1169,68,82,150,2,149,57,1,4
141,THOMPSON ,1296,92,275,367,,139,1188,90,260,350,,135,77,,31
142,TOLLAND ,2958,44,120,164,22,341,2934,43,119,162,22,336,24,,
143,TORRINGTON ,5024,381,1907,2288,315,801,4539,368,1704,2072,313,766,310,36,139
144,TRUMBULL ,6841,199,424,623,108,649,6709,198,423,621,108,648,19,2,111
145,UNION ,105,5,2,7,,9,100,5,,5,,8,5,,
146,VERNON ,3776,179,1237,1416,78,484,3699,175,1221,1396,78,474,45,15,17
147,VOLUNTOWN ,440,33,65,98,1,43,409,33,64,97,1,42,18,1,12
148,WALLINGFORD ,6412,198,916,1114,270,823,6277,197,899,1096,270,805,135,,
149,WARREN ,177,5,17,22,2,19,173,5,17,22,2,19,4,,
150,WASHINGTON ,375,11,42,53,3,53,367,11,39,50,3,53,5,,3
151,WATERBURY ,18384,1497,13676,15173,2060,3034,17664,1430,13298,14728,2060,3012,489,5,226
152,WATERFORD ,3055,135,400,535,41,381,2987,133,391,524,41,368,61,7,
153,WATERTOWN ,3161,184,459,643,76,360,3030,180,448,628,76,358,74,,57
154,WESTBROOK ,885,17,97,114,24,99,881,17,97,114,24,99,4,,
155,WEST HARTFORD ,10437,451,1614,2065,523,1133,10306,446,1589,2035,521,1132,13,6,112
156,WEST HAVEN ,7528,586,3497,4083,710,942,7258,574,3396,3970,702,930,219,39,12
157,WESTON ,2428,16,17,33,5,226,2410,16,17,33,5,225,1,2,15
158,WESTPORT ,5768,26,158,184,56,584,5743,26,158,184,56,584,,,25
159,WETHERSFIELD ,3949,223,564,787,162,491,3861,222,556,778,161,486,23,1,64
160,WILLINGTON ,756,14,88,102,5,111,737,13,87,100,5,104,18,,1
161,WILTON ,4328,16,61,77,26,534,4303,16,61,77,26,533,1,,24
162,WINCHESTER ,1425,137,604,741,34,269,1298,136,544,680,34,259,69,18,40
163,WINDHAM ,3577,247,2362,2609,804,560,3259,230,2194,2424,783,544,232,6,80
164,WINDSOR ,4066,366,1017,1383,122,625,3962,355,986,1341,122,621,34,69,1
165,WINDSOR LOCKS ,1844,144,480,624,56,204,1807,141,472,613,56,204,13,1,23
166,WOLCOTT ,2818,192,405,597,35,242,2758,192,398,590,35,242,58,,2
167,WOODBRIDGE ,1461,23,54,77,22,143,1456,23,54,77,22,142,5,,
168,WOODBURY ,1301,24,60,84,13,151,1267,23,60,83,13,151,8,,26
169,WOODSTOCK ,1328,38,94,132,5,105,1301,37,86,123,5,100,27,,
